abstract,id,title,journal,year,author
"In an previous study (Burr, 1985), it was reported that for monochromatic stimuli ranging from 420-680 nm, reversal bouts were elicited at five wavelengths from 520-600 nm (sample sizes were 200-400). At saturating intensities, the 10 s stimulus increased the probability of a reversal to 0.21 from a 0.12 background level due to spontaneous reversals. This increment corresponds to one response elicited for every 11 light presentations, on average. With such a low probability of response on top of a spontaneous background, a large sample size and paired statistics is required to achieve significance. To facilitate further investigation, we have developed a computer-video automated tracking system which scores reversals of up to 23 worms simultaneously and we here report the first results obtained with this system. Time resolution was one second, and sample sizes were on the order of 1000. Habituation was negligible over 15 cycles with 50 s of darkness alternating with a 10-second broad-band (360-610 nm) stimulus at saturating intensity. For statistical analysis, the 10 s stimulus period was paired with the preceding 10 s of darkness. Most responses occurred 1-7 s after light onset with a peak probability at 3 s. The incremental probability of a reversal was of the same order as observed previously. In both this and the earlier study, filtering the stimulus beam with 5 cm water and blocking filters is aimed at eliminating any far- and near-infrared light that could heat the worm or arena. That this was accomplished was supported by tests and analysis in the previous study. To confirm that the response was to light, not a temperature change, we repeated the above experiment under identical conditions except for an additional filter which blocked all wavelengths shorter than 630 nm light while transmitting infrared. The incremental response during the shutter-open period was eliminated, confirming that light elicits reversals. We have initiated experiments with mutants aimed at narrowing the possible candidates for the light-sensitive receptor neuron. So far, we have found that light sensitivity is retained in ttx-1 and lost in daf-19. Considering the known morphological effects of these mutations (Perkins et al., 1986), it would appear that the structural integrity of the fingers in AFD is not essential for light sensitivity but the presence of cilia in one or more ciliated sensory neurons probably is. Burr (1985) Photochem. Photobiol. 41: 577-582. Perkins, Hedgecock, Thomson & Culotti (1986) Dev. Biol. 117:456-487.",WBPaper00017321,REVERSAL RESPONSES TO LIGHT IN C. ELEGANS: RESULTS WITH MUTANTS,West Coast Worm Meeting,1996,Leung K|Cheng B|Burr AHJ
"It is crucial to correctly detect and interpret environmental signals. Studying the development and mechanisms of sensory perception is challenging in organisms with complex neuronal networks. The worm C. elegans possesses a simple neuronal network of 302 neurons that includes 60 ciliated sensory neurons (CSN) for detecting external sensory input. C. elegans is thus an excellent model in which to study sensory neuron development, function and behavior. We have generated a genetic rescue system that allows in vivo analyses of isolated CSN at both cellular and systemic levels. We used the RFX transcription factor DAF-19, a key regulator of ciliogenesis. Mutations in daf-19 result in the complete absence of all sensory cilia and thus of external sensory input. In daf-19 mutants we used cell-specific rescue of DAF-19 function in selected neurons, thereby generating animals with single, fully functional CSN. Otherwise and elsewhere these animals are completely devoid of any environmental input through cilia. We demonstrated the rescue of fully functional, single cilia using fluorescent markers, sensory behavioral assays, and calcium imaging. Our technique, called FRISSC (Functional Rescue In Single Sensory Cilia), can thus cell-autonomously and cell- specifically restore the function of single sensory neurons and their ability to respond to sensory input. FRISSC can be adapted to many different CSNs, and thus constitutes an excellent tool to study sensory behaviors, both in single animals and populations of worms. It will be very useful for the molecular dissection of sensory perception in CSN and for the analysis of developmental aspects of ciliogenesis.",WBPaper00035359,Worms with a single functional sensory cilium generate proper neuron-specific behavioral output,European Worm Neurobiology Meeting,2009,Gabriele Senti|Marina Ezcurra|Jana Lobner|William R Schafer|Peter Swoboda
"The dendritic ends of most C. elegans sensory neurons terminate with primary cilia, microtubule-based structures critical for the sensory functions of these cells. Though primary cilia occur in various cell types in animals, little is known about specific tubulins that determine their characteristic architecture and function.  We carried out a microarray-based screen for genes expressed in male tail sensory rays, each of which contains two ciliated neurons.  This approach identified the beta-tubulin tbb-4, one of six beta-tubulins in the C. elegans genome. Other bioinformatics approaches have suggested two potential alpha-tubulin partners, tba-6 and tba-9.  To study the expression of these tubulins, we have created and analyzed transcriptional and translational YFP fusions. A tbb-4 transcriptional fusion is expressed in ciliated neurons, including amphid, phasmid and labial neurons in both sexes, and ray neurons in males. The TBB-4 translational fusion is specifically localized to the tips of dendrites in these neurons, indicating that TBB-4 is likely to be a component of ciliary microtubules.  The tba-6 transcriptional fusion is expressed in labial neurons and bodywall muscles in both sexes, the HSN, and male tail rays.  We are currently constructing translational YFP fusions with tba-6 and tba-9.  To determine the role of these tubulins in vivo, we have created single and double mutant combinations of tbb-4(ok1461) and tba-6(cxTi4018) in a background containing OSM-6::GFP.  Single tbb-4 and tba-6 mutations do not disrupt OSM-6::GFP localization along cilia, nor does the double mutant.  We are currently using RNAi to reduce expression of tba-9 in these genetic backgrounds.  The tbb-4 promoter contains a putative X-box, suggesting that it could be directly regulated by the RFX transcription factor DAF-19.  A recognizable X-box does not appear in the promoter of either tba-6 or tba-9.  To determine if the X-box is necessary to drive expression of tbb-4 in ciliated neurons, we constructed a tbb-4promoter::YFP fusion in which the X-box was deleted.  Preliminary observations suggest that the X-box is required for high levels of tbb-4 expression.  In addition, to determine if DAF-19 is required for tbb-4 expression, we plan to analyze the expression of our tubulin promoter::YFP constructs in a daf-19 mutant",WBPaper00028247,Tubulins in sensory cilia,"Neuronal Development, Synaptic Function, and Behavior Meeting",2006,Daryl Hurd|Woo-sin Park|Douglas Portman
"Monitoring Editor: Marcos Gonzalez-Gaitan Neurons form elaborate subcellular structures such as dendrites, axons, cilia, and synapses to receive signals from their environment and transmit them to the respective target cells. In the worm C. elegans, lack of the RFX transcription factor DAF-19 leads to the complete absence of cilia normally found on 60 sensory neurons. We now describe and functionally characterize three different isoforms of DAF-19. The short isoform DAF-19C is specifically expressed in ciliated sensory neurons and sufficient to rescue all cilia-related phenotypes of daf-19 mutants. In contrast, the long isoforms DAF-19A/B function in basically all nonciliated neurons. We discovered behavioral and cellular phenotypes in daf-19 mutants that depend on the isoforms daf-19a/b. These novel synaptic maintenance phenotypes are reminiscent of synaptic decline seen in many human neurodegenerative disorders. C. elegans daf-19 mutant worms can thus serve as a molecular model for the mechanisms of functional neuronal decline.",WBPaper00032252,Distinct isoforms of the RFX transcription factor DAF-19 regulate ciliogenesis and maintenance of synaptic activity.,Mol Biol Cell,2008,Senti G|Swoboda P
"Mutation in the Caenorhabditis elegans gene osm-6 was previously shown to result in defects in the ultrastructure of sensory cilia and defects in chemosensory and mechanosensory behaviors. We have cloned osm-6 by transposon tagging and transformation rescue and have identified molecular lesions associated with five osm-6 mutations. The osm-6 gene encodes a protein that is 40% identical in amino acid sequence to a predicted mammalian protein of unknown function. We fused osm-6 with the gene for green fluorescent protein (GFP); the fusion gene rescued the osm-6 mutant phenotype and showed accumulation of GFP in ciliated sensory neurons exclusively. The OSM-6::GFP protein was localized to cytoplasm, including processes and dendritic endings where sensory cilia are situated. Mutations in other genes known to cause ciliary defects led to changes in the appearance of OSM-6::GFP in dendritic endings or, in the case of daf-19, reduced OSM-6::GFP accumulation. We conclude from an analysis of genetic mosaics that osm-6 acts cell autonomously in affecting cilium structure.",WBPaper00002980,"Analysis of osm-6, a gene that affects sensory cilium structure and sensory neuron function in Caenorhabditis elegans.",Genetics,1998,Collet J|Spike CA|Lundquist EA|Shaw JE|Herman RK
"Sensory organs are composed of sensory neuron dendrites surrounded by ensheathing glial-like cells. We are interested in understanding sensory organ morphogenesis. The generation of sensory organ morphology is dependent on the formation of a tube by the ensheathing cells and the coordination of this lumen with the sensory neuron processes. To understand how tube morphogenesis is coupled to sensory neuron development, we are studying the morphogenesis of the C. elegans amphid sensory organ. To gain insight into the genetic basis of sensory organ morphogenesis, we characterized daf-6 . daf-6 encodes a sterol-sensing domain containing protein related to Drosophila and vertebrate Patched. Microscopy analysis suggests that daf-6 sensory defects are due to a failure to generate a proper tube within the amphid sheath cells. Mosaic analysis demonstrated that daf-6 functions in the amphid sheath cells(1), and heat shock rescue experiments revealed that daf-6 is required in the amphid during a narrow window of embryogenesis when the amphid sheath lumen forms. DAF-6 is expressed in and lines the luminal surfaces of the amphid sheath and socket cells, as well as other tube cells, including the phasmid sheath and socket cells, excretory system cells, vulval cells, and rectal cells, suggesting that daf-6 may play a general role in lumen formation. In animals mutant for both daf-6 and che-14 , a C. elegans Dispatched homolog, the excretory canal lumen is malformed, and embryos do not pass through the vulva opening. Thus, daf-6 functions with che-14 to regulate proper lumen formation. To address the coordination of amphid sheath lumen development with formation of the ciliated ending of the sensory neurons, we examined daf-19 mutants, which lack sensory neuron cilia. We have observed several sheath cell defects, most notably an alteration in the pattern of DAF-6::GFP localization in the amphid sheath tube. Currently, we are attempting to determine whether this defect is due to a defect in amphid lumen formation or a more selective defect in DAF-6 subcellular localization. We are also interested in identifying additional genes that function with daf-6 to regulate amphid morphogenesis. To do so, we are carrying out genetic screens to identify daf-6 suppressors or enhancers. Our results will be presented at the meeting. (1) Herman R.K. (1987). Mosaic analysis of two genes that affect nervous system structure in Caenorhabditis elegans . Genetics 116, 377-388.",WBPaper00010832,The role of daf-6 and cell-cell interactions in amphid morphogenesis,East Coast Worm Meeting,2004,Elliot A Perens|Shai Shaham
"In Caenorhabditis elegans, formation of the developmentally arrested dauer larva is induced by high levels of a constitutively secreted pheromone. Synergy between two groups of incompletely penetrant dauer-constitutive (Daf-c) mutations has recently led to a proposal that these two groups of genes are partially redundant and function in two parallel pathways that regulate dauer formation. A possible weakness in this reasoning is that the mutations used to identify the synergy were specifically obtained as incompletely penetrant mutations. Here we use screens to identify new Daf-c alleles without any requirement for partial penetrance. Nevertheless, 22 of the 25 new mutations are incompletely penetrant mutations in 6 previously identified genes. Among these are mutations in daf-8 and daf-19, genes for which only one mutation had been previously identified. Also included in this group are three daf-1 alleles that do not exhibit the maternal rescue characteristic of other daf-1 alleles. Two of the 25 new mutations are fully penetrant and are alleles of daf-2, the one gene in which a fully penetrant mutation had been found earlier. Finally, one of the 25 new mutations is semidominant, temperature-sensitive, and identifies a new gene, daf-28. The results demonstrate that an incompletely penetrant Daf-c phenotype is characteristic of mutations in most Daf-c genes other than daf-2. This finding strengthens the hypothesis that a branched genetic pathway controls dauer formation.",WBPaper00001923,A screen for nonconditional dauer-constitutive mutations in Caenorhabditis elegans.,Genetics,1994,Malone EA|Thomas JH
"Cilia are ubiquitous cell surface projections that mediate various sensory- and motility-based processes and are implicated in a growing number of multi-organ genetic disorders termed ciliopathies. To identify new components required for cilium biogenesis and function, we sought to further define and validate the transcriptional targets of DAF-19, the ciliogenic C. elegans RFX transcription factor. Transcriptional profiling of daf-19 mutants (which do not form cilia) and wild-type animals was performed using embryos staged to when the cell types developing cilia in the worm, the ciliated sensory neurons (CSNs), still differentiate. Comparisons between the two populations revealed 881 differentially regulated genes with greater than a 1.5-fold increase or decrease in expression. A subset of these was confirmed by quantitative RT-PCR. Transgenic worms expressing transcriptional GFP fusions revealed CSN-specific expression patterns for 11 of 14 candidate genes. We show that two uncharacterized candidate genes, termed dyf-17 and dyf-18 because their corresponding mutants display dye-filling (Dyf) defects, are important for ciliogenesis. DYF-17 localizes at the base of cilia and is specifically required for building the distal segment of sensory cilia. DYF-18 is an evolutionarily conserved CDK7/CCRK/LF2p-related serine/threonine kinase that is necessary for the proper function of intraflagellar transport, a process critical for cilium biogenesis. Together, our microarray study identifies targets of the evolutionarily conserved RFX transcription factor, DAF-19, providing a rich dataset from which to uncover-in addition to DYF-17 and DYF-18-cellular components important for cilium formation and function.",WBPaper00039866,Transcriptional profiling of C. elegans DAF-19 uncovers a ciliary base-associated protein and a CDK/CCRK/LF2p-related kinase required for intraflagellar transport.,Dev Biol,2011,Phirke P|Efimenko E|Mohan S|Burghoorn J|Crona F|Bakhoum MW|Trieb M|Schuske K|Jorgensen EM|Piasecki BP|Leroux MR|Swoboda P
"C. elegans relies on sensory cues to find food. In the absence of such cues, the worm might display defined search patterns or other stereotyped behavior. We sought to characterize the motion of C. elegans in the absence of stimuli, over time scales comparable to that of starvation. To this end, we devised an imaging setup employing several flatbed scanners, which enables us to collect animals' paths over large (24 cm x 24 cm) surfaces. Wild-type worms display striking behavior in the absence of food. ~60% of the animals' paths display persistence in the direction of motion over length scales that are 50-100 times the body-length of C. elegans. The direction of movement differs from animal to animal, suggesting that the bias we observe might not represent a taxis towards an external cue. We confirmed these results with a camera imaging setup, in a more stringently homogeneous environment. Interestingly, directionality does not appear to arise from local correlation in the direction of motion. Furthermore, synthetic trajectories generated from the same angle and step distributions of individual trajectories indicate that the observed persistence in direction cannot be accounted for by simple random walk models. To determine whether sensory input is required for directionality, we analyzed the paths of sensory mutants. che-2 animals, which display cilia defects, exhibit non-directional behavior. Surprisingly, however, ~20% of daf-19 mutants, which lack cilia, display directionality. Mutations in osm-9, a TRPV channel required in several sensory neurons, do not affect behavior. By contrast, mutations in the cGMP-gated channel tax-4 result in loss of directionality, indicating a requirement for the activity of sensory neurons. To further investigate the role of sensory perception we performed rescue experiments of TAX-4 function. No rescue is observed when driving TAX-4 in the thermosensory neuron AFD or in the olfactory neurons AWB and AWC. Moreover, mutants defective in signal transduction for thermotaxis, odortaxis, phototaxis, and aerotaxis do not display loss of directionality. We observe partial rescue of directionality when driving TAX-4 in a set of five cells: the oxygen-sensing AQR, PQR and URX neurons and the ASJ and ASK neurons. In conclusion, our results suggest that the motion of C. elegans in the absence of apparent sensory cues cannot be assimilated to a random walk, and raise the intriguing speculative possibility that C. elegans might achieve directional motion by relying solely on self-based information.",WBPaper00039398,Biased motion in unbiased environments: are the worms navigating?,International Worm Meeting,2011,"Peliti, Margherita|Chuang, John|Leibler, Stanislas|Shaham, Shai"
"Parasitic nematodes represent formidable pathogens of humans, livestock and crop plants. Control of these parasites is almost exclusively dependent on a small group of anthelmintic drugs, the most important of which belong to the macrocyclic lactone class. The extensive use of these drugs to control the ubiquitous trichostrongylid parasites of grazing livestock has resulted in the emergence of both single and multi-drug resistance. The expectation is that this resistance will eventually occur in the human parasites such as the common and debilitating soil transmitted nematodes and vector-borne filarial nematodes. While the modes of action of anthelmintics such as ivermectin (IVM), have been elucidated, notably in the model nematode Caenorhabditis elegans, the molecular nature of this resistance remains to be fully determined. Here we show that the anterior amphids play a key role in IVM uptake and mutations in these sensory structures result in IVM resistance in C. elegans. Random genetic mutant screens, detailed analysis of existing amphid mutants and lipophilic dye uptake indicate that the non-motile ciliated amphid neurons are a major route of IVM ingress; the majority of the mutants characterized in this study are predicted to be involved in intraflagellar transport. In addition to a role in IVM resistance, a subset of the amphid mutants are resistant to the non-related benzimidazole class of anthelmintics, raising the potential link to a multi-drug resistance mechanism. The amphid structures are present in all nematodes and are clearly defined in a drug-sensitive strain of Haemonchus contortus. It is predicted that amphidial drug uptake and intraflagellar transport may prove to be significant in the development of single and multi-drug resistance in the nematode pathogens of veterinary and human importance.",WBPaper00055368,The sensory amphidial structures of Caenorhabditis elegans are involved in macrocyclic lactone uptake and anthelmintic resistance.,Int J Parasitol,2018,Page AP
"Cilia are important for the interaction with environments and the proper function of tissues. While the basic structure of cilia is well conserved, ciliated cells have various functions. To understand the distinctive identities of ciliated cells, the identification of cell-specific proteins and its regulation is essential. Here, we report the mechanism that confers a specific identity on IL2 neurons in Caenorhabditis elegans, neurons important for the dauer larva-specific nictation behavior. We show that DAF-19M, an isoform of the sole C. elegans RFX transcription factor DAF-19, heads a regulatory subroutine, regulating target genes through an X-box motif variant under the control of terminal selector proteins UNC-86 and CFI-1 in IL2 neurons. Considering the conservation of DAF-19M module in IL2 neurons for nictation and in male-specific neurons for mating behavior, we propose the existence of an evolutionarily adaptable, hard-wired genetic module for distinct behaviors that share the feature ""recognizing the environment.""",WBPaper00063946,The C. elegans regulatory factor X (RFX) DAF-19M module: A shift from general ciliogenesis to cell-specific ciliary and behavioral specialization.,Cell Rep,2022,Ahn S|Yang H|Son S|Lee HS|Park D|Yim H|Choi HJ|Swoboda P|Lee J
"Dauer is a dormancy state that may occur at the end of developmental stage L1 or L2 of Caenorhabditis elegans when the environmental conditions are unfavorable (e.g., lack of food, high temperature, or overcrowding) for further growth. Dauer is a nonaging duration that does not affect the postdauer adult lifespan. Major molecular events would include the sensing of the environmental cues, the transduction of the signals into the cells, and the subsequent integration of the signals that result in the corresponding alteration of the metabolism and morphology of the organism. Genetics approach has been effectively used in identifying many of the so-called daf genes involved in dauer formation using C. elegans as the model. Nevertheless, biochemical studies at the protein and metabolic level has been lacking behind in understanding this important life phenomenon. This review focuses on the biochemical understanding so far achieved on dauer formation and dormancy in general, as well as important issues that need to be addressed in the future.",WBPaper00033400,Understanding the mechanism of the dormant dauer formation of C. elegans: from genetics to biochemistry.,IUBMB Life,2009,Wang Y|Ezemaduka AN|Tang Y|Chang Z
"DAF-19 is an RFX-transcription factor (Regulatory Factor binding to the X-box), which has been shown to be essential for the development of cilia on 60 sensory neurons in C. elegans. Mutations in daf-19 lead to the complete loss of all ciliated structures, but leave the cell bodies and neurites of these neurons intact. DAF-19 has been shown to regulate a large number of cilium-specific genes encoding structural and functional cilium components as well as other transcription factors. This finding suggests a very central role of DAF-19 during ciliogenesis. Since DAF-19 is essential for the formation of cilia, we hypothesize that it could also be sufficient. We try to answer this question by expressing the daf-19 gene from heterologous promoters in cells that usually do not carry cilia with the aim of inducing ectopic cilia. When expressed in tail hypodermis cells, daf-19 leads to morphological changes of the hermaphrodite tail and to the ectopic expression of daf-19 target genes. Several of these cells do not show hypodermal cell characteristics anymore, but seem to display more neuron-like features (e.g. processes). Currently we are characterizing in detail to what extent the ectopic expression of daf-19 can transform hypodermis cells into neuronal or even cilium-carrying cells.",WBPaper00025293,"Ectopic expression of DAF-19, a transcription factor that controls cilium development",International Worm Meeting,2005,Gabriele G K Gahmon|Juan Carlos Fierro Gonzalez|Peter Swoboda
"Eight classes of chemosensory neurons in C. elegans fill with fluorescein when living animals are placed in a dye solution. Fluorescein enters the neurons through their exposed sensory cilia. Mutations in 14 genes prevent dye uptake and disrupt chemosensory behaviors. Each of these genes affects the ultrastructure of the chemosensory cilia or their accessory cells. In each case, the cilia are shorter or less exposed than normal, suggesting that dye contact is the principal factor under selection. Ten genes affect many or all of the sensory cilia in the head. The daf-19 (m86) mutation eliminates all cilia, leaving only occasional centrioles in the dendrites. The cilia in che-13 (e1805), osm-1 (p808), osm-5 (p813), and osm-6 (p811) mutants have normal transition zones and severely shortened axonemes. Doublet-microtubules, attached to the membrane by Y links, assemble ectopically proximal to the cilia in these mutants. The amphid cilia in che-11 (e1810) are irregular in diameter and contain dark ground material in the middle of the axonemes. Certain mechanocilia are also affected. The amphid cilia in che-10 (e1809) apparently degenerate, leaving dendrites with bulb-shaped endings filled with dark ground material. The mechanocilia lack striated rootlets. Cilia defects have also been found in che-2, che-3, and daf- 10 mutants. The osm-3 (p802) mutation specifically eliminates the distal segment of the amphid cilia. Mutations in three genes affect sensillar support cells. The che-12 (e1812) mutation eliminates matrix material normally secreted by the amphid sheath cell. The che- 14 (e1960) mutation disrupts the joining of the amphid sheath and socket cells to form the receptor channel. A similar defect has been observed in daf-6 mutants. Four additional genes affect specific classes of ciliated sensory neurons. The mec-1 and mec-8 (e398) mutations disrupt the fasciculation of the amphid cilia. The cat-6 (e1861) mutation disrupts the tubular bodies of the CEP mechanocilia. A cryophilic thermotaxis mutant, ttx-1 (p767), lacks fingers on the AFD dendrite, suggesting",WBPaper00000932,Mutant sensory cilia in the nematode Caenorhabditis elegans.,Dev Biol,1986,Perkins LA|Hedgecock EM|Thomson JN|Culotti JG
"The Gram-negative bacterium Shigella flexneri is the causative agent of shigellosis, a diarrhoeal disease also known as bacillary dysentery. S. flexneri infects the colonic and rectal epithelia of its primate host and induces a cascade of inflammatory responses that culminates in the destruction of the host intestinal lining. Molecular characterization of host-pathogen interactions in this infection has been challenging due to the host specificity of S. flexneri strains, as it strictly infects humans and non-human primates. Recent studies have shown that S. flexneri infects the soil dwelling nematode Caenorhabditis elegans, however, the interactions between S. flexneri and C. elegans at the cellular level and the cause of nematode death are unknown. Here we attempt to gain insight into the complex host-pathogen interactions between S. flexneri and C. elegans. Using transmission electron microscopy, we show that live S. flexneri cells accumulate in the nematode intestinal lumen, produce outer membrane vesicles and invade nematode intestinal cells. Using two-dimensional differential in-gel electrophoresis we identified host proteins that are differentially expressed in response to S. flexneri infection. Four of the identified genes, aco-1, cct-2, daf-19 and hsp-60, were knocked down using RNAi and ACO-1, CCT-2 and DAF-19, which were identified as up-regulated in response to S. flexneri infection, were found to be involved in the infection process. aco-1 RNAi worms were more resistant to S. flexneri infection, suggesting S. flexneri-mediated disruption of host iron homeostasis. cct-2 and daf-19 RNAi worms were more susceptible to infection, suggesting that these genes are induced as a protective mechanism by C. elegans. These observations further our understanding of the processes involved in S. flexneri infection of C. elegans, which is immensely beneficial to the routine use of this new in vivo model to study S. flexneri pathogenesis.",WBPaper00045693,Shigella flexneri infection in Caenorhabditis elegans: cytopathological examination and identification of host responses.,PLoS One,2014,George DT|Behm CA|Hall DH|Mathesius U|Rug M|Nguyen KC|Verma NK
"Aging is characterized by a global decline in physiological function. However, by constructing a complete single-cell gene expression atlas, we find that Caenorhabditis elegans aging is not random in nature but instead is characterized by coordinated changes in functionally related metabolic, proteostasis, and stress-response genes in a cell-type-specific fashion, with downregulation of energy metabolism being the only nearly universal change. Similarly, the rates at which cells age differ significantly between cell types. In some cell types, aging is characterized by an increase in cell-to-cell variance, whereas in others, variance actually decreases. Remarkably, multiple resilience-enhancing transcription factors known to extend lifespan are activated across many cell types with age; we discovered new longevity candidates, such as GEI-3, among these. Together, our findings suggest that cells do not age passively but instead react strongly, and individualistically, to events that occur during aging. This atlas can be queried through a public interface.",WBPaper00065841,Individual cell types in C.&#xa0;elegans age differently and activate distinct cell-protective responses.,Cell Rep,2023,Roux AE|Yuan H|Podshivalova K|Hendrickson D|Kerr R|Kenyon C|Kelley D
"It is not always easy to apply microarray technology to small numbers of cells because of the difficulty in selectively isolating mRNA from such cells. We report here the preparation of mRNA from ciliated sensory neurons of Caenorhabditis elegans using the mRNA-tagging method, in which poly(A) RNA was co-immunoprecipitated with an epitope-tagged poly(A)-binding protein specifically expressed in sensory neurons. Subsequent cDNA microarray analyses led to the identification of a panel of sensory neuron-expressed genes.",WBPaper00024994,Identification of ciliated sensory neuron-expressed genes in Caenorhabditis elegans using targeted pull-down of poly(A) tails.,Genome Biol,2005,Kunitomo H|Uesugi H|Kohara Y|Iino Y
"The non-motile cilium, once believed to be a vestigial cellular structure, is now increasingly associated with the ability of a wide variety of cells and organisms to sense their chemical and physical environments. With its limited number of sensory cilia and diverse behavioral repertoire, C. elegans has emerged as a powerful experimental system for studying how cilia are formed, function, and ultimately modulate complex behaviors. Here, we discuss the biogenesis, distribution, structures, composition and general functions of C. elegans cilia. We also briefly highlight how C. elegans is being used to provide molecular insights into various human ciliopathies, including Polycystic Kidney Disease and Bardet-Biedl Syndrome.",WBPaper00029016,The sensory cilia of Caenorhabditis elegans.,WormBook,2007,Peter N. Inglis|Guangshuo Ou|Michel R. Leroux|Jonathan M. Scholey
"Individual cell types can elaborate morphologically diverse cilia. Cilia are assembled via intraflagellar transport (IFT) of ciliary precursors; however, the mechanisms that generate ciliary diversity are unknown. Here, we examine IFT in the structurally distinct cilia of the ASH/ASI and the AWB chemosensory neurons in Caenorhabditis elegans, enabling us to compare IFT in specific cilia types. We show that unlike in the ASH/ASI cilia, the OSM-3 kinesin moves independently of the kinesin-II motor in the AWB cilia. Although OSM-3 is essential to extend the distal segments of the ASH/ASI cilia, it is not required to build the AWB distal segments. Mutations in the fkh-2 forkhead domain gene result in AWB-specific defects in ciliary morphology, and FKH-2 regulates kinesin-II subunit gene expression specifically in AWB. Our results suggest that cell-specific regulation of IFT contributes to the generation of ciliary diversity, and provide insights into the networks coupling the acquisition of ciliary specializations with other aspects of cell fate.",WBPaper00029400,Distinct IFT mechanisms contribute to the generation of ciliary structural diversity in C. elegans.,EMBO J,2007,Mukhopadhyay S|Lu Y|Qin H|Lanjuin A|Shaham S|Sengupta P
"Cytoplasmic dynein is involved in a wide variety of cellular functions. In addition to the initially characterized form (MAP 1Cdynein 1), a second form of cytoplasmic dynein (dynein 2) has been identified and implicated in intraflagellar transport (IFT) in lower eukaryotes and in Golgi organization in vertebrates. In the current study, the primary structure of the full-length dynein 2 heavy chain (HC) was determined from cDNA sequence. The dynein 1 and dynein 2 sequences were similar within the motor region, and around the light intermediate chain (LIC)-binding site within the N-terminal stem region. The dynein 2 HC co-immunoprecipitated with LIC3, a homologue of dynein 1 LICs. Dynein 2 mRNA was abundant in the ependymal layer of the neural tube and in the olfactory epithelium. Antibodies to dynein 2 HC, LIC3 and a component of IFT particles strongly stained the ependymal layer lining the lateral ventricles. Both dynein 2 HC and LIC3 staining was also observed associated with connecting cilia in the retina and within primary cilia of non-neuronal cultured cells. These data support a specific role for dynein 2 in the generation and maintenance of",WBPaper00005658,Molecular structure of cytoplasmic dynein 2 and its distribution in neuronal and ciliated cells.,J Cell Sci,2002,Mikami A|Tynan SH|Hama T|Luby-Phelps K|Saito T|Crandall JE|Besharse JC|Vallee RB
"The hook sensory neuron HOB mediates vulva location behavior during Caenorhabditis elegans male mating. We screened for mutations that affect HOB gene expression and isolated an allele of zinc finger transcription factor egl-46. Mutations in egl-46 are defective in vulva location, indicating a disruption of HOB function. Establishment of primary neuronal fate of HOB, cell position and morphology, and dendritic process to the male hook are normal in the egl-46(-) males. EGL-46 regulates HOB-specific expression of polycystins lov-1 and pkd-2, homeodomain gene ceh-26, and neuropeptide-like protein nlp-8, but is not required for expression of general cilium structure genes osm-5 and osm-6 in the HOB neuron. By contrast, RFX-like transcription factor daf-19 is not only an upstream key regulator in general cilium formation pathway, but also affects the expression of pkd-2, ceh-26, and nlp-8 in a non-HOB-specific manner. Therefore, egl-46 regulates a cell-specific program to define sensory specificity for HOB neuronal function. This program might be dependant upon execution of the ciliogenic pathway.",WBPaper00016724,EGL-46 regulates the specific characteristics of hook sensory neuron HOB for its function in C. elegans male mating,West Coast Worm Meeting,2002,Hui Yu|Paul W Sternberg
"Prior studies from our laboratory and others have demonstrated two layers of transcriptional regulation of the serotonin-biosynthesis enzyme tryptophan hydroxylase tph-1 in the ciliated chemosensory neurons ADF. The OCR-2/OSM-9 TRPV channel regulates the basal tph-1 expression under optimal growth conditions (Zhang et al., 2004). Stress conditions or mutations of the sensory cilia further upregulate tph-1 expression in ADFs (Zhang et al., 2005; Chang et al., 2006; Moussaif and Sze, 2009; Shivers et al., 2009). To identify new genes involved in the regulation of tph-1 expression in the ADF neurons, two genetic screens were carried out. We identified that yz58, a gain-of-function allele of the Toll-interleukin 1 receptor domain protein TIR-1, restored tph-1 expression in the ocr-2 mutant background. Characterization of mutations that suppress tph-1 upregulation by tir-1 (yz58) led to the identification of two daf-19 alleles. Interestingly, both mutations are located in the DAF-19 dimerization domain. Mutations in DAF-19 do not affect the expression of CAT-1/VMAT, indicating that the mutations do not transform the ADF serotonergic cell fate. Further analysis suggests that DAF-19 also interacts with TIR-1 signaling in other cellular and physiological functions. References Chang AJ, Chronis N, Karow DS, Marletta MA, Bargmann CI. 2006. A distributed chemosensory circuit for oxygen preference in C. elegans. PLoS Biol 4:e274. Moussaif M, Sze JY. 2009. Intraflagellar transport/Hedgehog-related signaling components couple sensory cilium morphology and serotonin biosynthesis in Caenorhabditis elegans. J Neurosci 29:4065-75. Shivers RP, Kooistra T, Chu SW, Pagano DJ, Kim DH. 2009. Tissue-specific activities of an immune signaling module regulate physiological responses to pathogenic and nutritional bacteria in C. elegans. Cell Host Microbe 6:321-30. Zhang S, Sokolchik I, Blanco G, Sze JY. 2004. Caenorhabditis elegans TRPV ion channel regulates 5HT biosynthesis in chemosensory neurons. Development 131:1629-38. Zhang Y, Lu H, Bargmann CI. 2005. Pathogenic bacteria induce aversive olfactory learning in Caenorhabditis elegans. Nature 438:179-84.",WBPaper00039226,The RFX Transcription Factor DAF-19 Couples Toll-interleukin 1 Receptor Domain Protein TIR-1 Signaling to Regulation of Neuronal Activities in C. elegans.,International Worm Meeting,2011,"Xie, Y.|Moussaif, M.|Choi, S.|Sze, J."
