pmid,id,journal,year,title,author,abstract
27486161,WBPaper00049923,Exp Biol Med (Maywood),2016,"Biochemistry, function, and deficiency of vitamin B12 in Caenorhabditis elegans.",Bito T|Watanabe F,"Caenorhabditis elegans is a nematode that has been widely used as an animal for investigation of diverse biological phenomena. Vitamin B12 is essential for the growth of this worm, which contains two cobalamin-dependent enzymes, methylmalonyl-CoA mutase and methionine synthase. A full complement of gene homologs encoding the enzymes associated with the mammalian intercellular metabolic processes of vitamin B12 is identified in the genome of C elegans However, this worm has no orthologs of the vitamin B12-binders that participate in human intestinal absorption and blood circulation. When the worm is treated with a vitamin B12-deficient diet for five generations (15 days), it readily develops vitamin B12 deficiency, which induces worm phenotypes (infertility, delayed growth, and shorter lifespan) that resemble the symptoms of mammalian vitamin B12 deficiency. Such phenotypes associated with vitamin B12 deficiency were readily induced in the worm."
23540702,WBPaper00042204,Cell,2013,Integration of metabolic and gene regulatory networks modulates the C. elegans dietary response.,Watson E|MacNeil LT|Arda HE|Zhu LJ|Walhout AJ,"Expression profiles are tailored according to dietary input. However, the networks that control dietary responses remain largely uncharacterized. Here, we combine forward and reverse genetic screens to delineate a network of 184 genes that affect the C. elegans dietary response to Comamonas DA1877 bacteria. We find that perturbation of a mitochondrial network composed of enzymes involved in amino acid metabolism and the TCA cycle affects the dietary response. In humans, mutations in the corresponding genes cause inborn diseases of amino acid metabolism, most of which are treated by dietary intervention. We identify several transcription factors (TFs) that mediate the changes in gene expression upon metabolic network perturbations. Altogether, our findings unveil a transcriptional response system that is poised to sense dietary cues and metabolic imbalances, illustrating extensive communication between metabolic networks in the mitochondria and gene regulatory networks in the nucleus."
NA,WBPaper00043057,International Worm Meeting,2013,SAMS-1: A protein that senses nutrient levels and mediates the longevity response to dietary restriction in the intestine.,"Ching, Tsui-ting|Kramer, Alex|Paal, Alisha|Zhang, Linda|Hsu, Ao-lin","Dietary restriction (DR) results in a robust increase in lifespan while maintaining the physiology of much younger animals in a wide range of species. Here, we examined the role of sams-1 in mediating the anti-aging effect of DR in C. elegans. sams-1 has previously been identified as a DR-responsive gene in C. elegans, as its expression level is significantly reduced in DR animals. Moreover, reduction in the expression of sams-1 has been shown to extend lifespan. However, the molecular mechanisms by which sams-1 influences longevity remain unknown. sams-1 encodes a S-adenosyl methionine (SAM) synthetase that catalyzes the biosynthesis of the universal methyl group donor S-adenosyl methionine (SAM). In this study, we found that SAMS-1 functions primarily in the intestine to influence longevity, and that dietary supplementation of SAM significantly reversed the lifespan phenotypes of sams-1 mutants. We also found that over-expression of sams-1 completely eliminates the longevity effects of DR. Most intriguingly, we found that SAMS-1 undergoes a rapid subcellular re-localization in the intestine, followed by a reduction in overall protein level in response to nutrient changes or TOR knockdown. These new findings strongly suggest that SAMS-1 may act downstream of TOR signaling to mediate the anti-aging effect of DR. To identify the downstream effectors that mediate the longevity effects of sams-1 mutants, we examined the effects of various methyltransferases on lifespan. Our preliminary results suggest that SAMS-1 might influence longevity by modulating RNA maturation, histone methylation, and phospholipid synthesis."
NA,WBPaper00058570,International Worm Meeting,2019,SAM-dependent methylation in the regulation of autophagy in C. elegans.,"Kang, Yun-Hsuan|Lim, Chiao-Yin|Lin, Huan-Tin|Kumsta, Caroline|Hansen, Malene|Hsu, Ao-lin|Ching, Tsui-ting","One main hallmark of aging is the accumulation of damaged proteins and dysfunctional organelles. The accumulation of intracellular damages might cause a progressively decline of cellular functions, leading to increased pathological conditions that is often observed with age. Autophagy has been recognized as a key cellular mechanism in maintaining cellular homeostasis through the degradation of aggregated proteins and defective organelles. Indeed, several pieces of evidence has supported that autophagy activation is beneficial for lifespan or health span in various model organisms. Dietary restriction (DR) is the most robust intervention for enhancing lifespan and health span. DR could upregulate autophagy activity in animals. Therefore, it has been suggested that autophagy plays a major role in DR-induced longevity. In fact, studies in C. elegans have indicated that autophagy is required in DR-induced longevity. Previously, we have demonstrated that sams-1, S-adenosyl methionine synthetase-1, is a key regulator in lifespan extension induced by DR. Therefore, we asked whether autophagy is also required in SAMS-1-mediated lifespan extension in C. elegans. In this study, we have shown that knockout or RNAi knockdown of SAMS-1 significantly activates autophagy flux. Meanwhile, we found that RNAi knockdown of sams-1 largely enhances the expression level and nuclear localization of HLH-30/TFEB, a master transcription factor for autophagy and lysosomal biogenesis. Furthermore, nuclear localization of HLH-30 in sams-1 RNAi mutants could be abolished by extra supplementation of SAM (S-adenosyl methionine). Thus, our observations have suggested that SAM-dependent reaction is involved in the regulation of HLH-30 activity. In order to identify the sams-1 effectors that could regulate the translocation of HLH-30, we have performed a protein methyltransferase RNAi screen in C. elegans. Through the screen, we have found that set-2 could modulate mRNA expression and the subcellular distribution of HLH-30. Our findings indicate that elevating autophagy activity is required for sams-1-mediated lifespan extension and that SAMS-1 might modulate HLH-30/TFEB activity through regulating SET-2-dependent methylation."
19239417,WBPaper00032932,Aging Cell,2009,Different dietary restriction regimens extend lifespan by both independent and overlapping genetic pathways in C. elegans.,Greer EL|Brunet A,"Dietary restriction (DR) has the remarkable ability to extend lifespan and healthspan. A variety of DR regimens have been described in species ranging from yeast to mammals. However, whether different DR regimens extend lifespan via universal, distinct, or overlapping pathways is still an open question. Here we examine the genetic pathways that mediate longevity by different DR regimens in Caenorhabditis elegans. We have previously shown that the low-energy sensing AMP-activated protein kinase AMPK/aak-2 and the Forkhead transcription factor FoxO/daf-16 are necessary for longevity induced by a DR regimen that we developed (sDR). Here we find that AMPK and FoxO are necessary for longevity induced by another DR regimen, but are dispensable for the lifespan extension induced by two different DR methods. Intriguingly, AMPK is also necessary for the lifespan extension elicited by resveratrol, a natural polyphenol that mimics some aspects of DR. Conversely, we test if genes previously reported to mediate longevity by a variety of DR methods are necessary for sDR-induced longevity. Although clk-1, a gene involved in ubiquinone biosynthesis, is also required for sDR-induced lifespan extension, we find that four other genes (sir-2.1, FoxA/pha-4, skn-1, and hsf-1) are all dispensable for longevity induced by sDR. Consistent with the observation that different DR methods extend lifespan by mostly independent genetic mechanisms, we find that the effects on lifespan of two different DR regimens are additive. Understanding the genetic network by which different DR regimens extend lifespan has important implications for harnessing the full benefits of DR on lifespan and healthspan."
23540700,WBPaper00042203,Cell,2013,Metformin retards aging in C. elegans by altering microbial folate and methionine metabolism.,Cabreiro F|Au C|Leung KY|Vergara-Irigaray N|Cocheme HM|Noori T|Weinkove D|Schuster E|Greene ND|Gems D,"The biguanide drug metformin is widely prescribed to treat type 2 diabetes and metabolic syndrome, but its mode of action remains uncertain. Metformin also increases lifespan in Caenorhabditis elegans cocultured with Escherichia coli. This bacterium exerts complex nutritional and pathogenic effects on its nematode predator/host that impact health and aging. We report that metformin increases lifespan by altering microbial folate and methionine metabolism. Alterations in metformin-induced longevity by mutation of worm methionine synthase (metr-1) and S-adenosylmethionine synthase (sams-1) imply metformin-induced methionine restriction in the host, consistent with action of this drug as a dietary restriction mimetic. Metformin increases or decreases worm lifespan, depending on E. coli strain metformin sensitivity and glucose concentration. In mammals, the intestinal microbiome influences host metabolism, including development of metabolic disease. Thus, metformin-induced alteration of microbial metabolism could contribute to therapeutic efficacy-and also to its side effects, which include folate deficiency and gastrointestinal upset."
36130518,WBPaper00064539,Cell Rep,2022,Early-life vitamin B12 orchestrates lipid peroxidation to ensure reproductive success via SBP-1/SREBP1 in Caenorhabditis elegans,Qin S|Wang Y|Li L|Liu J|Xiao C|Duan D|Hao W|Qin C|Chen J|Yao L|Zhang R|You J|Zheng JS|Shen E|Wu L,"Vitamin B12 (B12) deficiency is a critical problem worldwide. Such deficiency in infants has long been known to increase the propensity to develop obesity and diabetes later in life through unclear mechanisms. Here, we establish a Caenorhabditis elegans model to study how early-life B12 impacts adult health. We find that early-life B12 deficiency causes increased lipogenesis and lipid peroxidation in adult worms, which in turn induces germline defects through ferroptosis. Mechanistically, we show the central role of the methionine cycle-SBP-1/SREBP1-lipogenesis axis in programming adult traits by early-life B12. Moreover, SBP-1/SREBP1 participates in a crucial feedback loop with NHR-114/HNF4 to maintain cellular B12 homeostasis. Inhibition of SBP-1/SREBP1-lipogenesis signaling and ferroptosis later in life can reverse disorders in adulthood when B12 cannot. Overall, this study provides mechanistic insights into the life-course effects of early-life B12 on the programming of adult health and identifies potential targets for future interventions for adiposity and infertility."
NA,WBPaper00039084,International Worm Meeting,2011,S-adenosylmethionine synthetase SAMS-1 regulates brood size in C. elegans.,"Tamiya, Hiroko|Hirota, Keiko|Takahashi, Yuta|Daitoku, Hiroaki|Ishii, Naoaki|Fukamizu, Akiyoshi","S-adenosylmethionine (SAM) is the main methyl donor and the common point between the three principal metabolic pathways: polyamine synthesis, transmethylation, and transsulfuration. The synthesis of SAM is catalyzed by SAM synthetase (SAMS), which transfers the adenosyl portion of ATP to methionine. Here, we investigate the physiological roles of the SAMS proteins in C. elegans by using loss-of-function mutants of sams genes, sams-1, -3, -4 and -5. Among sams mutants, only sams-1 mutant exhibited a marked reduction in brood size. To investigate the role of SAMS-1 in the regulation of brood size, we examined the expression pattern of sams-1 using transgenic worms expressing GFP proteins under control of endogenous sams-1 promoter. Unexpectedly, sams-1 was expressed abundantly in the intestine and the body wall muscle, but not in the germline. Next, we examined whether SAM synthetic activity of sams-1 is involved in the regulation of brood size. The reduction of brood size in sams-1 mutant was efficiently rescued by over-expressing wild-type SAMS-1, but not an enzymatically inactive one. These results indicate that the brood size was modulated in SAM synthetic activity-dependent manner. Collectively, these data raise the possibility that SAM in the intestine and the body wall muscle might play an important role in maintaining the brood size in C. elegans."
29897131,WBPaper00054822,Bioessays,2018,"Glycogen at the Crossroad of Stress Resistance, Energy Maintenance, and Pathophysiology of Aging.",Gusarov I|Nudler E,"Glycogen is synthesized and stored to maintain postprandial blood glucose homeostasis and to ensure an uninterrupted energy supply between meals. Although the regulation of glycogen turnover has been well studied, the effects of glycogen on aging and disease development have been largely unexplored. In Caenorhabditis elegans fed a high sugar diet, glycogen potentiates resistance to oxidants, but paradoxically, shortens lifespan. Depletion of glycogen by oxidants or inhibition of glycogen synthesis extends the lifespan of worms by an AMPK-dependent mechanism. Thus, glycogen is not merely an inert storage molecule, but also an active regulator of energy balance and aging. Its depletion by oxidants may be beneficial in the treatment of hyperglycemia and glycogen-related diseases."
27405932,WBPaper00049828,Sci Rep,2016,The RNA-binding protein repertoire of Arabidopsis thaliana.,Marondedze C|Thomas L|Serrano NL|Lilley KS|Gehring C,"RNA-binding proteins (RBPs) have essential roles in determining the fate of RNA from synthesis to decay and have been studied on a protein-by-protein basis, or computationally based on a number of well-characterised RNA-binding domains. Recently, high-throughput methods enabled the capture of mammalian RNA-binding proteomes. To gain insight into the role of Arabidopsis thaliana RBPs at the systems level, we have employed interactome capture techniques using cells from different ecotypes grown in cultures and leaves. In vivo UV-crosslinking of RNA to RBPs, oligo(dT) capture and mass spectrometry yielded 1,145 different proteins including 550 RBPs that either belong to the functional category 'RNA-binding', have known RNA-binding domains or have orthologs identified in mammals, C. elegans, or S. cerevisiae in addition to 595 novel candidate RBPs. We noted specific subsets of RBPs in cultured cells and leaves and a comparison of Arabidopsis, mammalian, C. elegans, and S. cerevisiae RBPs reveals a common set of proteins with a role in intermediate metabolism, as well as distinct differences suggesting that RBPs are also species and tissue specific. This study provides a foundation for studies that will advance our understanding of the biological significance of RBPs in plant developmental and stimulus specific responses."
30120140,WBPaper00055090,Genetics,2018,OrthoList 2: A New Comparative Genomic Analysis of Human and <i>Caenorhabditis</i><i>elegans</i> Genes.,Kim W|Underwood RS|Greenwald I|Shaye DD,"OrthoList, a compendium of <i>Caenorhabditis</i><i>elegans</i> genes with human orthologs compiled in 2011 by a meta-analysis of four orthology-prediction methods, has been a popular tool for identifying conserved genes for research into biological and disease mechanisms. However, the efficacy of orthology prediction depends on the accuracy of gene model predictions, an ongoing process, and orthology-prediction algorithms have also been updated over time. Here we present OrthoList 2 (OL2), a new comparative genomic analysis between <i>C. elegans</i> and humans, and the first assessment of how changes over time affect the landscape of predicted orthologs between two species. Although we find that updates to the orthology-prediction methods significantly changed the landscape of <i>C. elegans-</i>human orthologs predicted by individual programs, and, unexpectedly, reduced agreement amongst them, we also show that our meta-analysis approach &quot;buffered&quot; against changes in gene content. We show that adding results from more programs did not lead to many additions to the list, and discuss reasons to avoid assigning &quot;scores&quot; based on support by individual orthology prediction programs, the treatment of &quot;legacy&quot; genes no longer predicted by these programs, and the practical difficulties of updating due to encountering deprecated, changed, or retired gene IDs. In addition, we consider what other criteria may support claims of orthology, and alternative approaches to find potential orthologs that elude identification by these programs. Finally, we created a new web-based tool that allows for rapid searches of OL2 by gene identifiers, protein domains (InterPro and SMART), or human-disease associations (OMIM), and also includes available RNAi resources to facilitate potential translational cross-species studies."
NA,WBPaper00063395,International Worm Meeting,2021,Understanding the role of SAM synthases under heat stress,"Godbole, Adwait|Gopalan, Sneha|Fazzio, Thomas|Walker, Amy","S- adenosyl methionine (SAM) donates methyl groups to histones modified during gene regulatory processes. SAM is produced by the 1-carbon cycle and this interaction provides a key link between metabolic status and transcriptional control. We previously found that RNA interference with sams-1, one of the four SAM synthases in Caenorhabditis elegans, reduces SAM levels as well histone H3 lysine 4 methylation (H3K4me3) in intestinal cells. sams-1 deficient animals also have altered stress responses. They are unable to accumulate H3K4me3 at promoters of bacterial response genes, upregulate these genes or survive pathogenic challenge. In contrast, sams-1 animals have enhanced survival during heat shock and regulate heat shock gene expression normally, although metabolic gene expression is broadly downregulated. Several lines of evidence suggest SAM from a distinct synthase may be important. First, interference with the H3K4me3 transferase set-16 had reduced survival in heat shock. Second, H3K4me3 levels recovered in heat shock in sams-1 animals, suggesting SAM from a distinct synthase and/or activity histone modifying enzymes could contribute to this stress response. Here, we show that sams-1 and sams-4 have distinct roles in the heat shock response, showing that the enzymatic source of SAM is a critical predictor of SAM function. Loss of sams-4 is distinct from sams-1 in several critical areas. sams-4 animals survive poorly after heat shock and is necessary for the recovery of H3K4me3 after heat shock. Next, sams-4(RNAi) animals do not exhibit the same reductions in metabolic gene expression during heat shock. Finally, sams-1 and sams-4 RNAi animals have distinct patterns of H3K4me3 in both basal and heat shocked conditions in CUT&amp;Tag assay measuring genome wide H3K4me3, with sams-1 animals losing enrichment at metabolic genes, similar to reductions in these genes in RNA seq. Taken together, this shows that the enzymatic source of SAM influences H3K4me3 patterns, gene expression patterns and physiological response to stress."
36385509,WBPaper00064747,Commun Biol,2022,Sulfur amino acid supplementation displays therapeutic potential in a C. elegans model of Duchenne muscular dystrophy.,Ellwood RA|Slade L|Lewis J|Torregrossa R|Sudevan S|Piasecki M|Whiteman M|Etheridge T|Szewczyk NJ,"Mutations in the dystrophin gene cause Duchenne muscular dystrophy (DMD), a common muscle disease that manifests with muscle weakness, wasting, and degeneration. An emerging theme in DMD pathophysiology is an intramuscular deficit in the gasotransmitter hydrogen sulfide (H<sub>2</sub>S). Here we show that the C. elegans DMD model displays reduced levels of H<sub>2</sub>S and expression of genes required for sulfur metabolism. These reductions can be offset by increasing bioavailability of sulfur containing amino acids (L-methionine, L-homocysteine, L-cysteine, L-glutathione, and L-taurine), augmenting healthspan primarily via improved calcium regulation, mitochondrial structure and delayed muscle cell death. Additionally, we show distinct differences in preservation mechanisms between sulfur amino acid vs H<sub>2</sub>S administration, despite similarities in required health-preserving pathways. Our results suggest that the H<sub>2</sub>S deficit in DMD is likely caused by altered sulfur metabolism and that modulation of this pathway may improve DMD muscle health via multiple evolutionarily conserved mechanisms."
NA,WBPaper00052390,International Worm Meeting,2017,Differential requirements for the methyl donor SAM in stress-induced gene expression.,"Ding, Wei|Higgins, Daniel|Pukkila-Worley, Read|Walker, Amy","Transcriptional processes are tightly linked to metabolic products. For example, the 1-carbon (1CC) cycle produces SAM (s-adenosylmethionine), the methyl donor used for histone and nucleic acid modification. While 1CC disruption has been proposed to broadly affect epigenetic processes, it is surprising that shifts in SAM levels affect specific methylation events, such as activating H3K4 methylation, suggesting that changes in SAM metabolism may affect specific genes or biological processes. Because the mammalian H3K4 methyltransferase (HMT) family is complex, it has also been difficult to discern specific roles for individual HMTs. Using C. elegans, we found that reducing SAM caused defects in H3K4me3 accumulation on promoters of selected infection response genes during pathogen exposure, that induction of these genes failed and that these animals had reduced survival. Furthermore, set-16/MLL, appeared to have critical role in this process. This suggests SAM may be important for stress responsive transcription and that distinct H3K4 methyl transferases may have specific roles. To test this model, we treated C. elegans with three stresses, bacterial, detoxification and heat, then examined survival and genome wide mRNA expression patterns in animals with low SAM (sams-1(RNAi)), or after knockdown of H3K4 HMTs set-2/SET1 or set-16/MLL. We found that transcriptional responses to bacterial or detoxification stress were blunted in sams-1(RNAi) animals. set-2/SET1 or set-16/MLL RNAi had negligible effects on in control animals, however, elicited distinct effects in response to bacterial, detoxification stress. set-2/SET1 appears less broadly required during bacterial or detoxification stress. Many bacterial or detoxification stress genes were also strongly attenuated after set-16/MLL knockdown. Canonical heat shock gene expression, however, increased normally in response to heat after sams-1, set-2 and set-16 RNAi. Finally, our biological assays revealed two important effects. First, sams-1, set-2/SET1 and set-16/MLL RNAi animals all died rapidly from the pathogen, despite variations in transcriptional responses. Interestingly, other 1CC genes, such the SAM synthases sams-2 and sams-3, are normally induced in response to a pathogen, but fail in sams-1, set-2/SET1 and set-16/MLL RNAi animals, suggesting feedback loops maintaining 1CC function may be critical for pathogenic challenge. Finally, set-16/MLL was sensitive to all three stresses, whereas set-2/SET1 animals survived normally on the detoxification agent and after heat shock. Thus, set-16/MLL may have a more general role in stress responsive transcription. Our data suggests that depletion of SAM could reduce the ability of a tissue to respond to stress, thereby increasing potential for injury and exacerbating disease progression."
36933794,WBPaper00065123,J Genet Genomics,2023,Phosphatidylcholine deficiency increases ferroptosis susceptibility in the C. elegans germline.,Zhu J|Meng W|Man Lam S|Shui G|Huang X,"Ferroptosis, a regulated and iron-dependent form of cell death characterized by peroxidation of membrane phospholipids, has tremendous potential for the therapy of human diseases. The causal link between phospholipid homeostasis and ferroptosis is incompletely understood. Here, we reveal that spin-4, a previously identified regulator of the ""B12-one-carbon cycle-phosphatidylcholine (PC)"" pathway, sustains germline development and fertility by ensuring PC sufficiency in the nematode Caenorhabditis elegans. Mechanistically, SPIN-4 regulates lysosomal activity which is required for B12-associated PC synthesis. PC deficiency-induced sterility can be rescued by reducing the levels of polyunsaturated fatty acids (PUFAs), reactive oxygen species (ROS) , and redox-active iron, which indicates that the sterility is mediated by germline ferroptosis. These results highlight the critical role of PC homeostasis in ferroptosis susceptibility and offer a new target for pharmacological approaches."
35115503,WBPaper00062642,Nat Commun,2022,Mitochondrial protein import determines lifespan through metabolic reprogramming and de novo serine biosynthesis.,Lionaki E|Gkikas I|Daskalaki I|Ioannidi MK|Klapa MI|Tavernarakis N,"Sustained mitochondrial fitness relies on coordinated biogenesis and clearance. Both processes are regulated by constant targeting of proteins into the organelle. Thus, mitochondrial protein import sets the pace for mitochondrial abundance and function. However, our understanding of mitochondrial protein translocation as a regulator of longevity remains enigmatic. Here, we targeted the main protein import translocases and assessed their contribution to mitochondrial abundance and organismal physiology. We find that reduction in cellular mitochondrial load through mitochondrial protein import system suppression, referred to as MitoMISS, elicits a distinct longevity paradigm. We show that MitoMISS triggers the mitochondrial unfolded protein response, orchestrating an adaptive reprogramming of metabolism. Glycolysis and de novo serine biosynthesis are causatively linked to longevity, whilst mitochondrial chaperone induction is dispensable for lifespan extension. Our findings extent the pro-longevity role of UPR<sup>mt</sup> and provide insight, relevant to the metabolic alterations that promote or undermine survival and longevity."
34166401,WBPaper00061547,PLoS Genet,2021,Antagonistic fungal enterotoxins intersect at multiple levels with host innate immune defences.,Zhang X|Harding BW|Aggad D|Courtine D|Chen JX|Pujol N|Ewbank JJ,"Animals and plants need to defend themselves from pathogen attack. Their defences drive innovation in virulence mechanisms, leading to never-ending cycles of co-evolution in both hosts and pathogens. A full understanding of host immunity therefore requires examination of pathogen virulence strategies. Here, we take advantage of the well-studied innate immune system of Caenorhabditis elegans to dissect the action of two virulence factors from its natural fungal pathogen Drechmeria coniospora. We show that these two enterotoxins have strikingly different effects when expressed individually in the nematode epidermis. One is able to interfere with diverse aspects of host cell biology, altering vesicle trafficking and preventing the key STAT-like transcription factor STA-2 from activating defensive antimicrobial peptide gene expression. The second increases STA-2 levels in the nucleus, modifies the nucleolus, and, potentially as a consequence of a host surveillance mechanism, causes increased defence gene expression. Our results highlight the remarkably complex and potentially antagonistic mechanisms that come into play in the interaction between co-evolved hosts and pathogens."
NA,WBPaper00047716,International Worm Meeting,2015,lpin-1 is necessary for low-PC activation of SBP-1/SREBP-1.,"Smulan, Lorissa|Bozonnet, Noemie|Walker, Amy","Decreases in s-adenosylmethionine (SAMe), the major methyl donor, or phosphatidylcholine (PC), a methylated phospholipid, are associated with lipid accumulation in mammalian metabolic disease.  However, the molecular mechanisms that link these metabolites to pathways stimulating lipogenesis are not fully understood.  Using C. elegans and mammalian models, we previously found that activity of a lipogenic transcription factor, SBP-1/SREBP-1, was increased when SAMe and PC levels fell.  For example, knockdown of the SAMe synthase sams-1 decreases both SAMe and PC and results in upregulation of SBP-1 target genes such fat-7.  fat-7 expression is returned to wild type levels when PC biosynthesis is rescued by diet. In order to identify additional effectors, we performed a small scale  RNAi screen for factors that could activate SBP-1 in a PC dependent manner by comparing fat-7::GFP levels in normal and low PC background (sams-1(lof)).  We reasoned that factors affected by low PC in this pathway might be involved in intracellular transport (COP II or COP I components), act in synthesis of complex lipids (phospholipids, ceremides, sphingolipids), regulate phospholipid transport (flippases, lipid transfer proteins) or function in phospholipid-based signaling pathways (phospholipases).  In order to insure complete coverage in our screen, we combined clones from the Ahringer and Orfeome collections and made RNAi targeting vectors for unrepresented genes.We identified multiple RNAi clones that increased fat-7::GFP in a sams-1-dependent fashion, suggesting they could be linked to low-PC activation of SBP-1.  As secondary screens, we asked which candidates had similar effects on endogenous fat-7, and finally, determined those that caused increases in nuclear localization of a translational fusion of GFP::SBP-1.  Through this process we identified two genes, lpin-1 and arf-1.2, as potential effectors of low-PC effects on SBP-1. lpin-1 is a phosphatidic acid phosphatase important for triglyceride synthesis and lipid droplet function.  arf-1.2 is a small GTPase that regulates COP I Golgi to ER traffic and is also important for lipid droplet formation.  We extended these studies to mammalian cells and found that siRNA of LPIN1 or ARF1 is sufficient to activate SREBP-1 and that LPIN1 is required for SREBP-1 activation when PC biosynthesis is inhibited.  Finally, we find that both inhibition of PC biosynthesis and LPIN1 knockdown decrease levels of active ARF1.  This suggests a pathway in which LPIN1 acts between signals from PC levels and regulation of ARF1 activity in the Golgi to affect activation of SBP-1/SREBP-1."
NA,WBPaper00047715,International Worm Meeting,2015,s-adenosylmethione levels govern innate immunity through distinct methylation-dependent pathways .,"Ding, Wei|Smulan, Lorissa|Bozonnet, Noemie|Hou, Nicole|Taubert, Stefan|Watts, Jennifer|Walker, Amy","s-adenosylmethionine (SAMe) modulates cellular functions as the sole methyl donor modifying histones, nucleic acids and phospholipids.  Fluctuation in SAMe impacts phosphatidylcholine (PC) synthesis in the liver and several mammalian studies correlate SAMe levels with variations in DNA or histone methylation.  In addition, low SAMe is associated with with lipid accumulation, increased tissue injury and immune responses in mammalian metabolic diseases, such as fatty liver disease.  However, molecular connections between SAMe limitation, individual methyltransferases and these phenotypes are unclear.  We had previously found that knockdown or mutation in the C. elegans SAMe synthase sams-1 exhibited lipid accumulation and now we find that the low SAMe can also associated with activation or attenuation Caenorhabditis elegans immune responses depending on bacterial food source.  On non-pathogenic Eschericia coli diets, innate immune pathways are stimulated with increased expression of genes associated with defense against bacterial pathogens and constituative phosphorylation of PMK-1, a p38 MAP kinase essential for innate immune responses.  Dietary rescue experiments show that this activation of innate immunity is downstream of methylation-dependent PC production.However, when challenged with pathogenic Pseudomonas aeruginosa, sams-1(lof) animals die rapidly, despite activation of protective MAPK pathways.  We find that distinct SAMe-dependent mechanisms are linked to Pseudomonas-specific responses in sams-1 animals.  C. elegans undertakes a broad transcriptional response to pathogenic bacteria and we find that low SAMe restricts an activating histone methylation mark, H3K4me3, on promoters of Pseudomonas-responsive genes and limits induction of these pathogen responsive genes.  Furthermore, we find the H3K4 methyltransferase set-16/MLL is critical for transcriptional responses to bacterial stress.  Thus, our studies provide molecular links between SAMe levels and innate immune functions and suggest that a primary effect of SAMe depletion is limitation of stress-induced gene expression."
37141255,WBPaper00065331,PLoS One,2023,Transcriptomics of ivermectin response in Caenorhabditis elegans: Integrating abamectin quantitative trait loci and comparison to the Ivermectin-exposed DA1316 strain.,Dube F|Hinas A|Delhomme N|Abrink M|Svard S|Tyden E,"Parasitic nematodes pose a significant threat to human and animal health, as well as cause economic losses in the agricultural sector. The use of anthelmintic drugs, such as Ivermectin (IVM), to control these parasites has led to widespread drug resistance. Identifying genetic markers of resistance in parasitic nematodes can be challenging, but the free-living nematode Caenorhabditis elegans provides a suitable model. In this study, we aimed to analyze the transcriptomes of adult C. elegans worms of the N2 strain exposed to the anthelmintic drug Ivermectin (IVM), and compare them to those of the resistant strain DA1316 and the recently identified Abamectin Quantitative Trait Loci (QTL) on chromosome V. We exposed pools of 300 adult N2 worms to IVM (10-7 and 10-8 M) for 4 hours at 20&#xb0;C, extracted total RNA and sequenced it on the Illumina NovaSeq6000 platform. Differentially expressed genes (DEGs) were determined using an in-house pipeline. The DEGs were compared to genes from a previous microarray study on IVM-resistant C. elegans and Abamectin-QTL. Our results revealed 615 DEGs (183 up-regulated and 432 down-regulated genes) from diverse gene families in the N2 C. elegans strain. Of these DEGs, 31 overlapped with genes from IVM-exposed adult worms of the DA1316 strain. We identified 19 genes, including the folate transporter (folt-2) and the transmembrane transporter (T22F3.11), which exhibited an opposite expression in N2 and the DA1316 strain and were deemed potential candidates. Additionally, we compiled a list of potential candidates for further research including T-type calcium channel (cca-1), potassium chloride cotransporter (kcc-2), as well as other genes such as glutamate-gated channel (glc-1) that mapped to the Abamectin-QTL."
32958476,WBPaper00060420,G3 (Bethesda),2020,Combining Auxin-Induced Degradation and RNAi Screening Identifies Novel Genes Involved in Lipid Bilayer Stress Sensing in <i>Caenorhabditis elegans</i>.,Venz R|Korosteleva A|Jongsma E|Ewald CY,"Alteration of the lipid composition of biological membranes interferes with their function and can cause tissue damage by triggering apoptosis. Upon lipid bilayer stress, the endoplasmic reticulum mounts a stress response similar to the unfolded protein response. However, only a few genes are known to regulate lipid bilayer stress. We performed a suppressor screen that combined the auxin-inducible degradation (AID) system with conventional RNAi in <i>C. elegans</i> to identify members of the lipid bilayer stress response. AID-mediated degradation of the mediator MDT-15, a protein required for the upregulation of fatty acid desaturases, induced the activation of lipid bilayer stress-sensitive reporters. We screened through most <i>C. elegans</i> kinases and transcription factors by feeding RNAi. We discovered nine genes that suppressed the lipid bilayer stress response in <i>C. elegans</i> These suppressor genes included <i>drl-1</i>/MAP3K3, <i>gsk-3</i>/GSK3, <i>let-607</i>/CREB3, <i>ire-1</i>/IRE1, and <i>skn-1</i>/NRF1,2,3. Our candidate suppressor genes suggest a network of transcription factors and the integration of multiple tissues for a centralized lipotoxicity response in the intestine. Thus, we demonstrated proof-of-concept for combining AID and RNAi as a new screening strategy and identified eight conserved genes that had not previously been implicated in the lipid bilayer stress response."
