Journal Name,ISSN,2021 JIF,eISSN,Category
MINERALS ENGINEERING,0892-6875,5.479,0892-6875,"MINING & MINERAL PROCESSING - SCIE(Q1); ENGINEERING, CHEMICAL - SCIE(Q1); MINERALOGY - SCIE(Q1)"
JCO Precision Oncology,N/A,5.479,2473-4284,ONCOLOGY - SCIE(Q2)
Nonlinear Analysis-Hybrid Systems,1751-570X,5.477,1878-7460,"AUTOMATION & CONTROL SYSTEMS - SCIE(Q1); MATHEMATICS, APPLIED - SCIE(Q1)"
Journal of the Taiwan Institute of Chemical Engineers,1876-1070,5.477,1876-1089,"ENGINEERING, CHEMICAL - SCIE(Q1)"
ENVIRONMENTAL MICROBIOLOGY,1462-2912,5.476,1462-2920,MICROBIOLOGY - SCIE(Q2)
COMMENTS ON INORGANIC CHEMISTRY,0260-3594,5.476,1548-9574,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q1)"
Internal and Emergency Medicine,1828-0447,5.472,1970-9366,"MEDICINE, GENERAL & INTERNAL - SCIE(Q2)"
ENVIRONMENTAL MODELLING & SOFTWARE,1364-8152,5.471,1873-6726,"WATER RESOURCES - SCIE(Q1); ENGINEERING, ENVIRONMENTAL - SCIE(Q2); ENVIRONMENTAL SCIENCES - SCIE(Q2); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q2)"
PERSONNEL PSYCHOLOGY,0031-5826,5.47,1744-6570,"PSYCHOLOGY, APPLIED - SSCI(Q1); MANAGEMENT - SSCI(Q2)"
JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,0391-4097,5.467,1720-8386,ENDOCRINOLOGY & METABOLISM - SCIE(Q2)
Epigenetics & Chromatin,N/A,5.465,1756-8935,GENETICS & HEREDITY - SCIE(Q1)
PEDIATRIC ALLERGY AND IMMUNOLOGY,0905-6157,5.464,1399-3038,PEDIATRICS - SCIE(Q1); ALLERGY - SCIE(Q2); IMMUNOLOGY - SCIE(Q2)
Sustainable Chemistry and Pharmacy,N/A,5.464,2352-5541,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q2); ENVIRONMENTAL SCIENCES - SCIE(Q2); GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE(Q3)"
IEEE Journal of Emerging and Selected Topics in Power Electronics,2168-6777,5.462,2168-6785,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)"
Earth System Dynamics,2190-4979,5.458,2190-4987,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)"
AEROSPACE SCIENCE AND TECHNOLOGY,1270-9638,5.457,1626-3219,"ENGINEERING, AEROSPACE - SCIE(Q1)"
JOURNAL OF URBAN ECONOMICS,0094-1190,5.456,1095-9068,URBAN STUDIES - SSCI(Q1); ECONOMICS - SSCI(Q1)
Organic Chemistry Frontiers,2052-4129,5.456,2052-4129,"CHEMISTRY, ORGANIC - SCIE(Q1)"
PROSTATE CANCER AND PROSTATIC DISEASES,1365-7852,5.455,1476-5608,UROLOGY & NEPHROLOGY - SCIE(Q1); ONCOLOGY - SCIE(Q2)
JOURNAL OF SECOND LANGUAGE WRITING,1060-3743,5.448,1873-1422,LINGUISTICS - SSCI(Q1)
Advances in Protein Chemistry and Structural Biology,1876-1623,5.447,N/A,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2)
International Journal of Logistics Management,0957-4093,5.446,1758-6550,MANAGEMENT - SSCI(Q2)
ULTRASCHALL IN DER MEDIZIN,0172-4614,5.445,1438-8782,"ACOUSTICS - SCIE(Q1); RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1)"
ELECTROCHEMISTRY COMMUNICATIONS,1388-2481,5.443,1873-1902,ELECTROCHEMISTRY - SCIE(Q2)
PLANT PHYSIOLOGY AND BIOCHEMISTRY,0981-9428,5.437,1873-2690,PLANT SCIENCES - SCIE(Q1)
Journal of Hydrology-Regional Studies,N/A,5.437,2214-5818,WATER RESOURCES - SCIE(Q1)
INORGANIC CHEMISTRY,0020-1669,5.436,1520-510X,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q1)"
Review of Managerial Science,1863-6683,5.435,1863-6691,MANAGEMENT - SSCI(Q2)
Frontiers in Psychiatry,1664-0640,5.435,1664-0640,PSYCHIATRY - SCIE(Q2); PSYCHIATRY - SSCI(Q2)
INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,0017-9310,5.431,1879-2189,"ENGINEERING, MECHANICAL - SCIE(Q1); THERMODYNAMICS - SCIE(Q1); MECHANICS - SCIE(Q1)"
SEMINARS IN ARTHRITIS AND RHEUMATISM,0049-0172,5.431,1532-866X,RHEUMATOLOGY - SCIE(Q2)
Current Diabetes Reports,1534-4827,5.43,1539-0829,ENDOCRINOLOGY & METABOLISM - SCIE(Q2)
Annals of Clinical and Translational Neurology,2328-9503,5.43,2328-9503,CLINICAL NEUROLOGY - SCIE(Q1); NEUROSCIENCES - SCIE(Q2)
Elements,1811-5209,5.429,1811-5217,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1); MINERALOGY - SCIE(Q1)
American Economic Review-Insights,2640-205X,5.429,2640-2068,ECONOMICS - SSCI(Q1)
JOURNAL OF PERSONALITY,0022-3506,5.429,1467-6494,"PSYCHOLOGY, SOCIAL - SSCI(Q1)"
JOURNAL OF AIR TRANSPORT MANAGEMENT,0969-6997,5.428,1873-2089,TRANSPORTATION - SSCI(Q2)
Virulence,2150-5594,5.428,2150-5608,INFECTIOUS DISEASES - SCIE(Q2); MICROBIOLOGY - SCIE(Q2); IMMUNOLOGY - SCIE(Q2)
GENDER WORK AND ORGANIZATION,0968-6673,5.428,1468-0432,WOMENS STUDIES - SSCI(Q1); MANAGEMENT - SSCI(Q2)
COASTAL ENGINEERING,0378-3839,5.427,1872-7379,"ENGINEERING, OCEAN - SCIE(Q1); ENGINEERING, CIVIL - SCIE(Q1)"
International Forum of Allergy & Rhinology,2042-6976,5.426,2042-6984,OTORHINOLARYNGOLOGY - SCIE(Q1)
JOURNAL OF IMMUNOLOGY,0022-1767,5.426,1550-6606,IMMUNOLOGY - SCIE(Q2)
GERONTOLOGIST,0016-9013,5.422,1758-5341,GERONTOLOGY - SSCI(Q1)
SEMINARS IN RADIATION ONCOLOGY,1053-4296,5.421,1532-9461,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1); ONCOLOGY - SCIE(Q2)"
JOURNAL OF SOCIAL ISSUES,0022-4537,5.418,1540-4560,"SOCIAL ISSUES - SSCI(Q1); PSYCHOLOGY, SOCIAL - SSCI(Q1)"
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,1063-6536,5.418,1558-0865,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); AUTOMATION & CONTROL SYSTEMS - SCIE(Q2)"
Nanoscale Research Letters,1931-7573,5.418,1556-276X,"PHYSICS, APPLIED - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q2); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q3)"
EUROPEAN NEUROPSYCHOPHARMACOLOGY,0924-977X,5.415,1873-7862,CLINICAL NEUROLOGY - SCIE(Q1); PHARMACOLOGY & PHARMACY - SCIE(Q1); PSYCHIATRY - SCIE(Q2); NEUROSCIENCES - SCIE(Q2)
APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,0269-994X,5.414,1464-0597,"PSYCHOLOGY, APPLIED - SSCI(Q2)"
MACHINE LEARNING,0885-6125,5.414,1573-0565,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q2)"
MARKETING SCIENCE,0732-2399,5.411,1526-548X,BUSINESS - SSCI(Q2)
Frontiers in Environmental Science,N/A,5.411,2296-665X,ENVIRONMENTAL SCIENCES - SCIE(Q2)
Applied Water Science,2190-5487,5.411,2190-5495,WATER RESOURCES - SCIE(Q1)
GEOLOGICAL SOCIETY OF AMERICA BULLETIN,0016-7606,5.41,1943-2674,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)"
CLINICAL MEDICINE,1470-2118,5.41,1473-4893,"MEDICINE, GENERAL & INTERNAL - SCIE(Q2)"
JOURNAL OF DERMATOLOGICAL SCIENCE,0923-1811,5.408,1873-569X,DERMATOLOGY - SCIE(Q1)
JOURNAL OF NEUROSURGERY,0022-3085,5.408,1933-0693,SURGERY - SCIE(Q1); CLINICAL NEUROLOGY - SCIE(Q1)
PHYSICAL REVIEW D,2470-0010,5.407,2470-0029,"PHYSICS, PARTICLES & FIELDS - SCIE(Q1); ASTRONOMY & ASTROPHYSICS - SCIE(Q1)"
DATA MINING AND KNOWLEDGE DISCOVERY,1384-5810,5.406,1573-756X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q2)"
Sustainable Energy Grids & Networks,2352-4677,5.405,2352-4677,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); ENERGY & FUELS - SCIE(Q2)"
CLINICAL AND EXPERIMENTAL ALLERGY,0954-7894,5.401,1365-2222,ALLERGY - SCIE(Q2); IMMUNOLOGY - SCIE(Q2)
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,0002-9173,5.4,1943-7722,PATHOLOGY - SCIE(Q1)
Therapeutic Advances in Hematology,2040-6207,5.4,2040-6215,HEMATOLOGY - SCIE(Q2)
WILDLIFE MONOGRAPHS,0084-0173,5.4,1938-5455,ZOOLOGY - SCIE(Q1); ECOLOGY - SCIE(Q1)
HUMAN BRAIN MAPPING,1065-9471,5.399,1097-0193,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1); NEUROIMAGING - SCIE(Q1); NEUROSCIENCES - SCIE(Q2)"
SOCIAL PROBLEMS,0037-7791,5.397,1533-8533,SOCIOLOGY - SSCI(Q1)
ACS Biomaterials Science & Engineering,2373-9878,5.395,2373-9878,"MATERIALS SCIENCE, BIOMATERIALS - SCIE(Q2)"
Diabetology & Metabolic Syndrome,N/A,5.395,1758-5996,ENDOCRINOLOGY & METABOLISM - SCIE(Q2)
Annals of Physical and Rehabilitation Medicine,1877-0657,5.393,1877-0665,REHABILITATION - SCIE(Q1)
PROTEOMICS,1615-9853,5.393,1615-9861,BIOCHEMICAL RESEARCH METHODS - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2)
NEUROEPIDEMIOLOGY,0251-5350,5.393,1423-0208,"CLINICAL NEUROLOGY - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q2)"
Information and Organization,1471-7727,5.387,1873-7919,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q1); MANAGEMENT - SSCI(Q2)
SEMINARS IN ONCOLOGY,0093-7754,5.385,1532-8708,ONCOLOGY - SCIE(Q2)
TRANSPLANTATION,0041-1337,5.385,1534-6080,SURGERY - SCIE(Q1); TRANSPLANTATION - SCIE(Q1); IMMUNOLOGY - SCIE(Q2)
Bone & Joint Journal,2049-4394,5.385,2049-4394,SURGERY - SCIE(Q1); ORTHOPEDICS - SCIE(Q1)
NBER Macroeconomics Annual,0889-3365,5.385,1537-2642,ECONOMICS - SSCI(Q1)
JOURNAL OF PAIN,1526-5900,5.383,1528-8447,CLINICAL NEUROLOGY - SCIE(Q1); NEUROSCIENCES - SCIE(Q2)
JOURNAL OF CLIMATE,0894-8755,5.38,1520-0442,METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q1)
SOCIAL SCIENCE & MEDICINE,0277-9536,5.379,1873-5347,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); SOCIAL SCIENCES, BIOMEDICAL - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q2)"
WORLD JOURNAL OF GASTROENTEROLOGY,1007-9327,5.374,2219-2840,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q2)
MAMMAL REVIEW,0305-1838,5.373,1365-2907,ZOOLOGY - SCIE(Q1); ECOLOGY - SCIE(Q1)
COMPUTERS & STRUCTURES,0045-7949,5.372,1879-2243,"ENGINEERING, CIVIL - SCIE(Q1); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q2)"
JOURNAL OF PROTEOME RESEARCH,1535-3893,5.37,1535-3907,BIOCHEMICAL RESEARCH METHODS - SCIE(Q1)
Journal of Clinical Lipidology,1933-2874,5.365,1876-4789,PHARMACOLOGY & PHARMACY - SCIE(Q1)
Polymer Chemistry,1759-9954,5.364,1759-9962,POLYMER SCIENCE - SCIE(Q1)
MOLECULAR PHARMACEUTICS,1543-8384,5.364,1543-8392,"PHARMACOLOGY & PHARMACY - SCIE(Q1); MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q2)"
Fire Ecology,1933-9747,5.364,1933-9747,ECOLOGY - SCIE(Q1); FORESTRY - SCIE(Q1)
AMERICAN JOURNAL OF EPIDEMIOLOGY,0002-9262,5.363,1476-6256,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q2)"
PLANT SCIENCE,0168-9452,5.363,1873-2259,PLANT SCIENCES - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2)
MARINE AND PETROLEUM GEOLOGY,0264-8172,5.361,1873-4073,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)"
ADVANCES IN WATER RESOURCES,0309-1708,5.361,1872-9657,WATER RESOURCES - SCIE(Q1)
JOURNAL OF PLANNING LITERATURE,0885-4122,5.361,1552-6593,REGIONAL & URBAN PLANNING - SSCI(Q1); URBAN STUDIES - SSCI(Q1)
EUROPEAN EATING DISORDERS REVIEW,1072-4133,5.36,1099-0968,"PSYCHOLOGY, CLINICAL - SSCI(Q1)"
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,N/A,5.358,2214-7829,"PSYCHOLOGY, CLINICAL - SSCI(Q1); HEALTH CARE SCIENCES & SERVICES - SCIE(Q1); MEDICAL INFORMATICS - SCIE(Q2); PSYCHIATRY - SCIE(Q2)"
3D Printing and Additive Manufacturing,2329-7662,5.355,2329-7670,"ENGINEERING, MANUFACTURING - SCIE(Q2); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q2)"
JOURNAL OF KOREAN MEDICAL SCIENCE,1011-8934,5.354,1598-6357,"MEDICINE, GENERAL & INTERNAL - SCIE(Q2)"
EUROPEAN JOURNAL OF HUMAN GENETICS,1018-4813,5.351,1476-5438,GENETICS & HEREDITY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2)
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,1018-8827,5.349,1435-165X,"PEDIATRICS - SCIE(Q1); PSYCHOLOGY, DEVELOPMENTAL - SSCI(Q1); PSYCHIATRY - SCIE(Q2); PSYCHIATRY - SSCI(Q2)"
Remote Sensing,N/A,5.349,2072-4292,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE(Q1); REMOTE SENSING - SCIE(Q2); ENVIRONMENTAL SCIENCES - SCIE(Q2)"
ANNALS OF MEDICINE,0785-3890,5.348,1365-2060,"MEDICINE, GENERAL & INTERNAL - SCIE(Q2)"
Cancer Biology & Medicine,2095-3941,5.347,2095-3941,"ONCOLOGY - SCIE(Q2); MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q2)"
JOURNAL OF RHEUMATOLOGY,0315-162X,5.346,1499-2752,RHEUMATOLOGY - SCIE(Q2)
JOURNAL OF RISK RESEARCH,1366-9877,5.346,1466-4461,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q1)"
Journal of the Association for Information Systems,1536-9323,5.346,1558-3457,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1); INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q1)"
BIPOLAR DISORDERS,1398-5647,5.345,1399-5618,CLINICAL NEUROLOGY - SCIE(Q1); NEUROSCIENCES - SCIE(Q2); PSYCHIATRY - SCIE(Q2)
Emergencias,1137-6821,5.345,2386-5857,EMERGENCY MEDICINE - SCIE(Q1)
Sexual Medicine Reviews,2050-0513,5.345,2050-0521,UROLOGY & NEPHROLOGY - SCIE(Q1)
IEEE Geoscience and Remote Sensing Letters,1545-598X,5.343,1558-0571,"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE(Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1); REMOTE SENSING - SCIE(Q2)"
JOURNAL OF MOLECULAR DIAGNOSTICS,1525-1578,5.341,1943-7811,PATHOLOGY - SCIE(Q1)
MINDS AND MACHINES,0924-6495,5.339,1572-8641,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q2)"
JOURNAL OF TECHNOLOGY TRANSFER,0892-9912,5.337,1573-7047,MANAGEMENT - SSCI(Q2)
APPLIED MATHEMATICAL MODELLING,0307-904X,5.336,1872-8480,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q1); MECHANICS - SCIE(Q1); MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q1)"
PATHOLOGY,0031-3025,5.335,1465-3931,PATHOLOGY - SCIE(Q1)
Environmental Science-Processes & Impacts,2050-7887,5.334,2050-7895,"CHEMISTRY, ANALYTICAL - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q2)"
JOURNAL OF PEASANT STUDIES,0306-6150,5.333,1743-9361,DEVELOPMENT STUDIES - SSCI(Q1); ANTHROPOLOGY - SSCI(Q1)
HUMAN COMMUNICATION RESEARCH,0360-3989,5.333,1468-2958,COMMUNICATION - SSCI(Q1)
JOURNAL OF ARCHAEOLOGICAL RESEARCH,1059-0161,5.333,1573-7756,ARCHAEOLOGY - AHCI(N/A); ANTHROPOLOGY - SSCI(Q1)
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,0018-9456,5.332,1557-9662,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); INSTRUMENTS & INSTRUMENTATION - SCIE(Q1)"
Journal of Sustainable Cement-Based Materials,2165-0373,5.328,2165-0381,"CONSTRUCTION & BUILDING TECHNOLOGY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q2); GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE(Q3)"
EVOLUTION AND HUMAN BEHAVIOR,1090-5138,5.327,1879-0607,"PSYCHOLOGY, BIOLOGICAL - SSCI(Q1); BEHAVIORAL SCIENCES - SCIE(Q1); SOCIAL SCIENCES, BIOMEDICAL - SSCI(Q1)"
Underground Space,2096-2754,5.327,2467-9674,"ENGINEERING, CIVIL - SCIE(Q1)"
Gut Pathogens,1757-4749,5.324,1757-4749,MICROBIOLOGY - SCIE(Q2); GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q2)
Epidemics,1755-4365,5.324,1878-0067,INFECTIOUS DISEASES - SCIE(Q2)
Advances in Immunology,0065-2776,5.324,1557-8445,IMMUNOLOGY - SCIE(Q2)
CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE,0706-7437,5.321,1497-0015,PSYCHIATRY - SCIE(Q2); PSYCHIATRY - SSCI(Q2)
BEHAVIOUR RESEARCH AND THERAPY,0005-7967,5.321,1873-622X,"PSYCHOLOGY, CLINICAL - SSCI(Q1)"
INDIAN JOURNAL OF PEDIATRICS,0019-5456,5.319,0973-7693,PEDIATRICS - SCIE(Q1)
Journal of Theoretical and Applied Electronic Commerce Research,0718-1876,5.318,0718-1876,BUSINESS - SSCI(Q2)
Food Bioscience,2212-4292,5.318,2212-4306,FOOD SCIENCE & TECHNOLOGY - SCIE(Q2)
DEVELOPMENT AND PSYCHOPATHOLOGY,0954-5794,5.317,1469-2198,"PSYCHOLOGY, DEVELOPMENTAL - SSCI(Q1)"
Microbial Cell,2311-2638,5.316,2311-2638,CELL BIOLOGY - SCIE(Q2); MICROBIOLOGY - SCIE(Q2)
Social Psychological and Personality Science,1948-5506,5.316,1948-5514,"PSYCHOLOGY, SOCIAL - SSCI(Q1)"
NEUROSURGERY,0148-396X,5.315,1524-4040,SURGERY - SCIE(Q1); CLINICAL NEUROLOGY - SCIE(Q1)
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,1107-3756,5.314,1791-244X,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q2)"
European Journal of Physical and Rehabilitation Medicine,1973-9087,5.313,1973-9095,REHABILITATION - SCIE(Q1)
HEADACHE,0017-8748,5.311,1526-4610,CLINICAL NEUROLOGY - SCIE(Q1)
International Journal of Health Geographics,1476-072X,5.31,1476-072X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q2)"
NEW MEDIA & SOCIETY,1461-4448,5.31,1461-7315,COMMUNICATION - SSCI(Q1)
Advanced Quantum Technologies,N/A,5.31,2511-9044,OPTICS - SCIE(Q1); QUANTUM SCIENCE & TECHNOLOGY - SCIE(Q2)
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,0735-0015,5.309,1537-2707,"STATISTICS & PROBABILITY - SCIE(Q1); ECONOMICS - SSCI(Q1); SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI(Q1)"
BIOORGANIC CHEMISTRY,0045-2068,5.307,1090-2120,"CHEMISTRY, ORGANIC - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q2)"
AMERICAN FAMILY PHYSICIAN,0002-838X,5.305,1532-0650,"PRIMARY HEALTH CARE - SCIE(Q1); MEDICINE, GENERAL & INTERNAL - SCIE(Q2)"
GYNECOLOGIC ONCOLOGY,0090-8258,5.304,1095-6859,OBSTETRICS & GYNECOLOGY - SCIE(Q1); ONCOLOGY - SCIE(Q2)
MICROCHEMICAL JOURNAL,0026-265X,5.304,1095-9149,"CHEMISTRY, ANALYTICAL - SCIE(Q1)"
ORGANIZATION & ENVIRONMENT,1086-0266,5.299,1552-7417,ENVIRONMENTAL STUDIES - SSCI(Q1); MANAGEMENT - SSCI(Q2)
JOURNAL OF SLEEP RESEARCH,0962-1105,5.296,1365-2869,CLINICAL NEUROLOGY - SCIE(Q2); NEUROSCIENCES - SCIE(Q2)
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,1582-1838,5.295,1582-4934,"CELL BIOLOGY - SCIE(Q2); MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q2)"
IEEE Intelligent Transportation Systems Magazine,1939-1390,5.293,1941-1197,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE(Q2)"
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,0733-9364,5.292,1943-7862,"CONSTRUCTION & BUILDING TECHNOLOGY - SCIE(Q1); ENGINEERING, CIVIL - SCIE(Q1); ENGINEERING, INDUSTRIAL - SCIE(Q2)"
Animal Nutrition,2405-6383,5.285,2405-6545,"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE(Q1); VETERINARY SCIENCES - SCIE(Q1)"
Journal of Nutrition Health & Aging,1279-7707,5.285,1760-4788,GERIATRICS & GERONTOLOGY - SCIE(Q2); NUTRITION & DIETETICS - SCIE(Q2)
Journal of Natural Gas Science and Engineering,1875-5100,5.285,2212-3865,"ENGINEERING, CHEMICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q2)"
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,0363-6143,5.282,1522-1563,PHYSIOLOGY - SCIE(Q1); CELL BIOLOGY - SCIE(Q2)
IEEE Wireless Communications Letters,2162-2337,5.281,2162-2345,"TELECOMMUNICATIONS - SCIE(Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1)"
BIOSTATISTICS,1465-4644,5.279,1468-4357,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE(Q1); STATISTICS & PROBABILITY - SCIE(Q1)
Algal Research-Biomass Biofuels and Bioproducts,2211-9264,5.276,2211-9264,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q2)
Endoscopic Ultrasound,2303-9027,5.275,2226-7190,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q2)
INDIAN JOURNAL OF MEDICAL RESEARCH,0971-5916,5.274,0971-5916,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q2); IMMUNOLOGY - SCIE(Q2); MEDICINE, GENERAL & INTERNAL - SCIE(Q2)"
Fuzzy Optimization and Decision Making,1568-4539,5.274,1573-2908,"OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q2)"
NEUROPHARMACOLOGY,0028-3908,5.273,1873-7064,PHARMACOLOGY & PHARMACY - SCIE(Q1); NEUROSCIENCES - SCIE(Q2)
European Journal of Health Economics,1618-7598,5.271,1618-7601,HEALTH POLICY & SERVICES - SSCI(Q1); ECONOMICS - SSCI(Q1)
Neuroscience Bulletin,1673-7067,5.271,1995-8218,NEUROSCIENCES - SCIE(Q2)
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,0007-1013,5.268,1467-8535,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q1)
PANMINERVA MEDICA,0031-0808,5.268,1827-1898,"MEDICINE, GENERAL & INTERNAL - SCIE(Q2)"
Survey Research Methods,1864-3361,5.266,1864-3361,"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI(Q1)"
Climate Risk Management,2212-0963,5.266,2212-0963,ENVIRONMENTAL STUDIES - SSCI(Q1); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q2)
Probiotics and Antimicrobial Proteins,1867-1306,5.265,1867-1314,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q2); MICROBIOLOGY - SCIE(Q2)
JOINT BONE SPINE,1297-319X,5.263,1778-7254,RHEUMATOLOGY - SCIE(Q2)
TECTONICS,0278-7407,5.261,1944-9194,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1)
INFORMATION SYSTEMS FRONTIERS,1387-3326,5.261,1572-9419,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1); COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q1)"
BMC PLANT BIOLOGY,1471-2229,5.26,1471-2229,PLANT SCIENCES - SCIE(Q1)
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,0948-3349,5.257,1614-7502,"ENVIRONMENTAL SCIENCES - SCIE(Q2); ENGINEERING, ENVIRONMENTAL - SCIE(Q2)"
Current Opinion in Insect Science,2214-5745,5.254,2214-5753,ENTOMOLOGY - SCIE(Q1); BIOLOGY - SCIE(Q1); ECOLOGY - SCIE(Q1)
Movement Ecology,2051-3933,5.253,2051-3933,ECOLOGY - SCIE(Q1)
JOURNAL OF PSYCHIATRIC RESEARCH,0022-3956,5.25,1879-1379,PSYCHIATRY - SSCI(Q2); PSYCHIATRY - SCIE(Q2)
